 ,Track no,Slice no,X,Y,Distance,Velocity,Pixel Value,,,,,,,
57,1,57,247,124,0.288,0.144,23283,,,,,,-7,123
58,1,58,242,115,1.328,0.664,31448,,,,,,-12,114
59,1,59,232,107,1.652,0.826,32434,,,,,,-22,106
60,1,60,226,105,0.816,0.408,65281,,,,,,-28,104
61,1,61,214,102,1.596,0.798,65258,,,,,,-40,101
62,1,62,212,109,0.939,0.47,38149,,,,,,-42,108
63,1,63,201,112,1.471,0.735,30576,,,,,,-53,111
64,1,64,190,114,1.442,0.721,28509,,,,,,-64,113
65,1,65,185,110,0.826,0.413,23395,,,,,,-69,109
66,1,66,183,102,1.064,0.532,23329,,,,,,-71,101
67,1,67,173,93,1.736,0.868,22262,,,,,,-81,92
68,1,68,170,82,1.471,0.735,20014,,,,,,-84,81
69,1,69,161,73,1.642,0.821,20104,,,,,,-93,72
70,1,70,149,66,1.792,0.896,21400,,,,,,-105,65
71,1,71,149,66,0,0,18660,,,,,,-105,65
72,1,72,132,65,2.197,1.098,20898,,,,,,-122,64
73,1,73,119,59,1.847,0.923,24469,,,,,,-135,58
,,,,,,,,,,,,,,
74,3,1,190,10,-1,-1,31167,,,,,Track 3,0,0
75,3,2,190,10,0,0,15536,,,,,,0,0
76,3,3,192,10,0.258,0.129,13695,,,,,,2,0
77,3,4,194,10,0.258,0.129,13886,,,,,,4,0
78,3,5,194,10,0,0,13130,,,,,,4,0
79,3,6,194,10,0,0,13284,,,,,,4,0
80,3,7,194,10,0,0,11772,,,,,,4,0
81,3,8,194,10,0,0,10999,,,,,,4,0
82,3,9,194,13,0.387,0.194,12729,,,,,,4,3
83,3,10,186,12,1.04,0.52,9776,,,,,,-4,2
84,3,11,186,12,0,0,10246,,,,,,-4,2
85,3,12,186,12,0,0,13009,,,,,,-4,2
86,3,13,192,10,0.816,0.408,9974,,,,,,2,0
87,3,14,188,10,0.516,0.258,15933,,,,,,-2,0
88,3,15,188,10,0,0,12157,,,,,,-2,0
89,3,16,188,10,0,0,14498,,,,,,-2,0
90,3,17,190,12,0.365,0.182,11351,,,,,,0,2
91,3,18,190,12,0,0,12937,,,,,,0,2
92,3,19,190,12,0,0,13369,,,,,,0,2
93,3,20,189,12,0.129,0.065,13078,,,,,,-1,2
94,3,21,189,12,0,0,12841,,,,,,-1,2
95,3,22,189,12,0,0,12059,,,,,,-1,2
96,3,23,189,12,0,0,15805,,,,,,-1,2
97,3,24,188,16,0.532,0.266,17849,,,,,,-2,6
98,3,25,190,16,0.258,0.129,18554,,,,,,0,6
99,3,26,190,16,0,0,19203,,,,,,0,6
100,3,27,190,16,0,0,19976,,,,,,0,6
101,3,28,188,15,0.288,0.144,20323,,,,,,-2,5
102,3,29,188,15,0,0,20855,,,,,,-2,5
103,3,30,189,15,0.129,0.065,20360,,,,,,-1,5
104,3,31,188,12,0.408,0.204,17143,,,,,,-2,2
105,3,32,186,13,0.288,0.144,16071,,,,,,-4,3
106,3,33,184,13,0.258,0.129,18515,,,,,,-6,3
107,3,34,184,13,0,0,16386,,,,,,-6,3
108,3,35,185,13,0.129,0.065,17205,,,,,,-5,3
109,3,36,186,12,0.182,0.091,20574,,,,,,-4,2
110,3,37,186,12,0,0,16181,,,,,,-4,2
111,3,38,186,12,0,0,17810,,,,,,-4,2
112,3,39,186,12,0,0,19690,,,,,,-4,2
113,3,40,187,12,0.129,0.065,24290,,,,,,-3,2
114,3,41,186,12,0.129,0.065,20467,,,,,,-4,2
115,3,42,182,12,0.516,0.258,13709,,,,,,-8,2
116,3,43,184,12,0.258,0.129,20449,,,,,,-6,2
117,3,44,184,12,0,0,19319,,,,,,-6,2
118,3,45,187,14,0.465,0.233,25207,,,,,,-3,4
119,3,46,187,14,0,0,30316,,,,,,-3,4
120,3,47,187,13,0.129,0.065,21532,,,,,,-3,3
121,3,48,185,11,0.365,0.182,23221,,,,,,-5,1
122,3,49,186,12,0.182,0.091,24279,,,,,,-4,2
123,3,50,186,12,0,0,25210,,,,,,-4,2
124,3,51,186,12,0,0,26454,,,,,,-4,2
125,3,52,188,13,0.288,0.144,28262,,,,,,-2,3
126,3,53,187,13,0.129,0.065,28461,,,,,,-3,3
127,3,54,187,13,0,0,29951,,,,,,-3,3
128,3,55,187,13,0,0,32076,,,,,,-3,3
129,3,56,187,13,0,0,28308,,,,,,-3,3
130,3,57,187,13,0,0,32865,,,,,,-3,3
131,3,58,187,13,0,0,27376,,,,,,-3,3
132,3,59,187,13,0,0,30899,,,,,,-3,3
133,3,60,187,13,0,0,33747,,,,,,-3,3
134,3,61,187,13,0,0,28385,,,,,,-3,3
135,3,62,187,13,0,0,28215,,,,,,-3,3
136,3,63,187,13,0,0,26406,,,,,,-3,3
137,3,64,187,13,0,0,31029,,,,,,-3,3
138,3,65,187,13,0,0,27786,,,,,,-3,3
139,3,66,187,13,0,0,30169,,,,,,-3,3
140,3,67,187,13,0,0,31072,,,,,,-3,3
141,3,68,187,13,0,0,27628,,,,,,-3,3
142,3,69,187,13,0,0,33782,,,,,,-3,3
143,3,70,187,13,0,0,32329,,,,,,-3,3
144,3,71,187,13,0,0,32263,,,,,,-3,3
145,3,72,187,13,0,0,30120,,,,,,-3,3
146,3,73,187,13,0,0,35072,,,,,,-3,3
,,,,,,,,,,,,,,
147,5,1,150,58,-1,-1,41759,,,,,Track 5,0,0
148,5,2,150,58,0,0,38316,,,,,,0,0
149,5,3,150,58,0,0,32586,,,,,,0,0
150,5,4,151,58,0.129,0.065,31076,,,,,,1,0
151,5,5,152,62,0.532,0.266,27998,,,,,,2,4
152,5,6,152,64,0.258,0.129,21965,,,,,,2,6
153,5,7,152,66,0.258,0.129,22578,,,,,,2,8
154,5,8,152,68,0.258,0.129,19096,,,,,,2,10
155,5,9,144,63,1.217,0.608,21509,,,,,,-6,5
156,5,10,145,62,0.182,0.091,16958,,,,,,-5,4
157,5,11,142,60,0.465,0.233,17876,,,,,,-8,2
158,5,12,140,57,0.465,0.233,18080,,,,,,-10,-1
159,5,13,140,59,0.258,0.129,20285,,,,,,-10,1
160,5,14,138,60,0.288,0.144,18670,,,,,,-12,2
161,5,15,132,66,1.095,0.547,23273,,,,,,-18,8
162,5,16,132,66,0,0,21211,,,,,,-18,8
163,5,17,129,66,0.387,0.194,19073,,,,,,-21,8
164,5,18,126,67,0.408,0.204,23824,,,,,,-24,9
165,5,19,123,67,0.387,0.194,28330,,,,,,-27,9
166,5,20,118,72,0.912,0.456,25018,,,,,,-32,14
167,5,21,120,74,0.365,0.182,26117,,,,,,-30,16
168,5,22,121,78,0.532,0.266,32222,,,,,,-29,20
169,5,23,124,82,0.645,0.323,36643,,,,,,-26,24
170,5,24,123,89,0.912,0.456,37270,,,,,,-27,31
171,5,25,132,92,1.224,0.612,39215,,,,,,-18,34
172,5,26,139,96,1.04,0.52,35816,,,,,,-11,38
173,5,27,146,98,0.939,0.47,34618,,,,,,-4,40
174,5,28,152,99,0.785,0.392,38754,,,,,,2,41
175,5,29,160,99,1.032,0.516,38880,,,,,,10,41
176,5,30,168,98,1.04,0.52,40129,,,,,,18,40
177,5,31,180,96,1.569,0.785,37514,,,,,,30,38
178,5,32,185,93,0.752,0.376,37033,,,,,,35,35
179,5,33,190,92,0.658,0.329,41671,,,,,,40,34
180,5,34,194,92,0.516,0.258,35294,,,,,,44,34
181,5,35,200,86,1.095,0.547,29521,,,,,,50,28
182,5,36,204,83,0.645,0.323,38232,,,,,,54,25
183,5,37,206,83,0.258,0.129,46623,,,,,,56,25
184,5,38,211,81,0.695,0.347,39887,,,,,,61,23
185,5,39,212,78,0.408,0.204,47479,,,,,,62,20
186,5,40,214,74,0.577,0.288,39709,,,,,,64,16
187,5,41,214,70,0.516,0.258,38072,,,,,,64,12
188,5,42,214,72,0.258,0.129,48111,,,,,,64,14
189,5,43,214,67,0.645,0.323,37956,,,,,,64,9
190,5,44,214,66,0.129,0.065,44627,,,,,,64,8
191,5,45,214,64,0.258,0.129,46472,,,,,,64,6
192,5,46,219,62,0.695,0.347,49228,,,,,,69,4
193,5,47,219,57,0.645,0.323,38664,,,,,,69,-1
194,5,48,218,62,0.658,0.329,52616,,,,,,68,4
195,5,49,222,60,0.577,0.288,40671,,,,,,72,2
196,5,50,222,58,0.258,0.129,44844,,,,,,72,0
197,5,51,222,58,0,0,40389,,,,,,72,0
198,5,52,218,58,0.516,0.258,34859,,,,,,68,0
199,5,53,222,58,0.516,0.258,35355,,,,,,72,0
200,5,54,224,58,0.258,0.129,39628,,,,,,74,0
201,5,55,228,52,0.93,0.465,45395,,,,,,78,-6
202,5,56,231,50,0.465,0.233,50134,,,,,,81,-8
203,5,57,235,47,0.645,0.323,47793,,,,,,85,-11
204,5,58,234,44,0.408,0.204,58437,,,,,,84,-14
205,5,59,231,42,0.465,0.233,53653,,,,,,81,-16
206,5,60,227,46,0.73,0.365,44277,,,,,,77,-12
207,5,61,228,45,0.182,0.091,48988,,,,,,78,-13
208,5,62,228,43,0.258,0.129,42916,,,,,,78,-15
209,5,63,232,43,0.516,0.258,45607,,,,,,82,-15
210,5,64,233,42,0.182,0.091,42330,,,,,,83,-16
211,5,65,234,39,0.408,0.204,55459,,,,,,84,-19
212,5,66,231,42,0.547,0.274,43159,,,,,,81,-16
213,5,67,234,39,0.547,0.274,51585,,,,,,84,-19
214,5,68,237,34,0.752,0.376,43278,,,,,,87,-24
215,5,69,232,34,0.645,0.323,43287,,,,,,82,-24
216,5,70,236,34,0.516,0.258,44708,,,,,,86,-24
217,5,71,238,30,0.577,0.288,48851,,,,,,88,-28
218,5,72,235,28,0.465,0.233,45580,,,,,,85,-30
219,5,73,235,28,0,0,45063,,,,,,85,-30
,,,,,,,,,,,,,,
220,7,1,212,50,-1,-1,31132,,,,,Track 7,0,0
221,7,2,212,50,0,0,31146,,,,,,0,0
222,7,3,212,50,0,0,26712,,,,,,0,0
223,7,4,214,50,0.258,0.129,21927,,,,,,2,0
224,7,5,214,51,0.129,0.065,24381,,,,,,2,1
225,7,6,216,52,0.288,0.144,15302,,,,,,4,2
226,7,7,218,52,0.258,0.129,14115,,,,,,6,2
227,7,8,219,53,0.182,0.091,12875,,,,,,7,3
228,7,9,219,53,0,0,11865,,,,,,7,3
229,7,10,219,53,0,0,12312,,,,,,7,3
230,7,11,219,53,0,0,11886,,,,,,7,3
231,7,12,219,54,0.129,0.065,11182,,,,,,7,4
232,7,13,218,54,0.129,0.065,11618,,,,,,6,4
233,7,14,214,60,0.93,0.465,20025,,,,,,2,10
234,7,15,217,56,0.645,0.323,18520,,,,,,5,6
235,7,16,220,56,0.387,0.194,14962,,,,,,8,6
236,7,17,221,56,0.129,0.065,10983,,,,,,9,6
237,7,18,221,57,0.129,0.065,19248,,,,,,9,7
238,7,19,223,54,0.465,0.233,10237,,,,,,11,4
239,7,20,223,53,0.129,0.065,14452,,,,,,11,3
240,7,21,224,53,0.129,0.065,16141,,,,,,12,3
241,7,22,226,52,0.288,0.144,11336,,,,,,14,2
242,7,23,226,49,0.387,0.194,13139,,,,,,14,-1
243,7,24,230,49,0.516,0.258,16019,,,,,,18,-1
244,7,25,231,50,0.182,0.091,14953,,,,,,19,0
245,7,26,234,50,0.387,0.194,13773,,,,,,22,0
246,7,27,236,52,0.365,0.182,17397,,,,,,24,2
247,7,28,239,53,0.408,0.204,14557,,,,,,27,3
248,7,29,239,53,0,0,17722,,,,,,27,3
249,7,30,242,53,0.387,0.194,13100,,,,,,30,3
250,7,31,243,50,0.408,0.204,14039,,,,,,31,0
251,7,32,242,50,0.129,0.065,13441,,,,,,30,0
252,7,33,242,47,0.387,0.194,17870,,,,,,30,-3
253,7,34,246,46,0.532,0.266,22375,,,,,,34,-4
254,7,35,254,32,2.08,1.04,15431,,,,,,42,-18
255,7,36,250,25,1.04,0.52,20488,,,,,,38,-25
256,7,37,253,16,1.224,0.612,21421,,,,,,41,-34
257,7,38,257,8,1.154,0.577,17724,,,,,,45,-42
258,7,39,261,5,0.645,0.323,20985,,,,,,49,-45
259,7,40,269,5,1.032,0.516,25660,,,,,,57,-45
260,7,41,273,4,0.532,0.266,19749,,,,,,61,-46
261,7,42,277,4,0.516,0.258,21274,,,,,,65,-46
262,7,43,282,4,0.645,0.323,17051,,,,,,70,-46
263,7,44,286,4,0.516,0.258,19254,,,,,,74,-46
264,7,45,292,5,0.785,0.392,21911,,,,,,80,-45
265,7,46,296,3,0.577,0.288,20247,,,,,,84,-47
266,7,47,300,3,0.516,0.258,22704,,,,,,88,-47
267,7,48,306,3,0.774,0.387,26222,,,,,,94,-47
268,7,49,310,1,0.577,0.288,23352,,,,,,98,-49
269,7,50,311,1,0.129,0.065,26975,,,,,,99,-49
270,7,51,311,2,0.129,0.065,28000,,,,,,99,-48
271,7,52,314,2,0.387,0.194,29738,,,,,,102,-48
272,7,53,314,2,0,0,24455,,,,,,102,-48
273,7,54,314,2,0,0,22522,,,,,,102,-48
274,7,55,317,2,0.387,0.194,20574,,,,,,105,-48
275,7,56,319,2,0.258,0.129,26812,,,,,,107,-48
276,7,57,320,1,0.182,0.091,21551,,,,,,108,-49
277,7,58,328,1,1.032,0.516,21635,,,,,,116,-49
278,7,59,329,1,0.129,0.065,21402,,,,,,117,-49
279,7,60,333,1,0.516,0.258,19756,,,,,,121,-49
280,7,61,332,2,0.182,0.091,21690,,,,,,120,-48
281,7,62,334,1,0.288,0.144,21818,,,,,,122,-49
282,7,63,343,1,1.161,0.581,20363,,,,,,131,-49
283,7,64,350,1,0.903,0.452,26524,,,,,,138,-49
284,7,65,354,1,0.516,0.258,23279,,,,,,142,-49
285,7,66,352,1,0.258,0.129,19978,,,,,,140,-49
286,7,67,358,1,0.774,0.387,31292,,,,,,146,-49
287,7,68,362,2,0.532,0.266,25681,,,,,,150,-48
288,7,69,368,2,0.774,0.387,25910,,,,,,156,-48
289,7,70,368,3,0.129,0.065,19244,,,,,,156,-47
290,7,71,368,1,0.258,0.129,27574,,,,,,156,-49
291,7,72,370,2,0.288,0.144,28669,,,,,,158,-48
292,7,73,368,5,0.465,0.233,21183,,,,,,156,-45
,,,,,,,,,,,,,,
293,9,1,508,5,-1,-1,41308,,,,,Track 9,0,0
294,9,2,510,0,0.695,0.347,22464,,,,,,2,-5
,,,,,,,,,,,,,,
295,10,1,361,104,-1,-1,55498,,,,,Track 10,0,0
296,10,2,350,84,2.944,1.472,52875,,,,,,-11,-20
297,10,3,359,82,1.189,0.595,65510,,,,,,-2,-22
298,10,4,351,96,2.08,1.04,65516,,,,,,-10,-8
299,10,5,362,100,1.51,0.755,47749,,,,,,1,-4
300,10,6,362,94,0.774,0.387,41728,,,,,,1,-10
301,10,7,364,82,1.569,0.785,36374,,,,,,3,-22
302,10,8,360,84,0.577,0.288,24591,,,,,,-1,-20
303,10,9,354,86,0.816,0.408,18840,,,,,,-7,-18
304,10,10,350,82,0.73,0.365,18431,,,,,,-11,-22
305,10,11,354,81,0.532,0.266,20881,,,,,,-7,-23
306,10,12,353,81,0.129,0.065,18257,,,,,,-8,-23
307,10,13,348,81,0.645,0.323,16759,,,,,,-13,-23
308,10,14,330,87,2.448,1.224,18708,,,,,,-31,-17
309,10,15,288,112,6.305,3.153,33981,,,,,,-73,8
310,10,16,255,148,6.3,3.15,44786,,,,,,-106,44
311,10,17,246,176,3.794,1.897,49131,,,,,,-115,72
312,10,18,231,205,4.212,2.106,47185,,,,,,-130,101
313,10,19,241,260,7.211,3.606,48338,,,,,,-120,156
314,10,20,264,292,5.084,2.542,60807,,,,,,-97,188
315,10,21,281,304,2.684,1.342,48339,,,,,,-80,200
316,10,22,304,307,2.992,1.496,45581,,,,,,-57,203
317,10,23,359,310,7.106,3.553,39791,,,,,,-2,206
318,10,24,388,296,4.154,2.077,32082,,,,,,27,192
319,10,25,399,276,2.944,1.472,37294,,,,,,38,172
320,10,26,394,272,0.826,0.413,30138,,,,,,33,168
321,10,27,384,245,3.714,1.857,48680,,,,,,23,141
322,10,28,341,226,6.064,3.032,65510,,,,,,-20,122
323,10,29,320,240,3.256,1.628,49242,,,,,,-41,136
324,10,30,298,276,5.443,2.721,61520,,,,,,-63,172
325,10,31,303,284,1.217,0.608,47457,,,,,,-58,180
326,10,32,314,272,2.1,1.05,36421,,,,,,-47,168
327,10,33,324,260,2.015,1.008,30113,,,,,,-37,156
328,10,34,325,255,0.658,0.329,33074,,,,,,-36,151
329,10,35,329,254,0.532,0.266,32780,,,,,,-32,150
330,10,36,330,253,0.182,0.091,28668,,,,,,-31,149
331,10,37,318,255,1.569,0.785,39149,,,,,,-43,151
332,10,38,311,254,0.912,0.456,34968,,,,,,-50,150
333,10,39,304,254,0.903,0.452,39426,,,,,,-57,150
334,10,40,306,252,0.365,0.182,31362,,,,,,-55,148
335,10,41,306,250,0.258,0.129,35023,,,,,,-55,146
336,10,42,305,251,0.182,0.091,38459,,,,,,-56,147
337,10,43,298,249,0.939,0.47,49801,,,,,,-63,145
338,10,44,296,250,0.288,0.144,65513,,,,,,-65,146
339,10,45,280,260,2.434,1.217,65515,,,,,,-81,156
340,10,46,280,258,0.258,0.129,41120,,,,,,-81,154
341,10,47,272,246,1.86,0.93,31230,,,,,,-89,142
342,10,48,269,240,0.865,0.433,31038,,,,,,-92,136
343,10,49,260,224,2.368,1.184,26445,,,,,,-101,120
344,10,50,251,210,2.147,1.073,25161,,,,,,-110,106
345,10,51,250,204,0.785,0.392,20072,,,,,,-111,100
346,10,52,244,203,0.785,0.392,24798,,,,,,-117,99
347,10,53,244,201,0.258,0.129,23173,,,,,,-117,97
348,10,54,243,198,0.408,0.204,22021,,,,,,-118,94
349,10,55,238,189,1.328,0.664,21364,,,,,,-123,85
350,10,56,228,180,1.736,0.868,21119,,,,,,-133,76
351,10,57,228,178,0.258,0.129,21617,,,,,,-133,74
352,10,58,228,174,0.516,0.258,24898,,,,,,-133,70
353,10,59,226,172,0.365,0.182,22758,,,,,,-135,68
354,10,60,224,163,1.189,0.595,24297,,,,,,-137,59
355,10,61,216,158,1.217,0.608,23653,,,,,,-145,54
356,10,62,210,156,0.816,0.408,24805,,,,,,-151,52
357,10,63,205,155,0.658,0.329,27441,,,,,,-156,51
358,10,64,202,157,0.465,0.233,17260,,,,,,-159,53
359,10,65,197,155,0.695,0.347,25307,,,,,,-164,51
360,10,66,196,155,0.129,0.065,18813,,,,,,-165,51
361,10,67,194,154,0.288,0.144,23866,,,,,,-167,50
362,10,68,198,152,0.577,0.288,30469,,,,,,-163,48
363,10,69,204,146,1.095,0.547,26405,,,,,,-157,42
364,10,70,206,135,1.442,0.721,30525,,,,,,-155,31
365,10,71,204,121,1.824,0.912,32359,,,,,,-157,17
366,10,72,198,112,1.395,0.698,43438,,,,,,-163,8
367,10,73,193,109,0.752,0.376,33461,,,,,,-168,5
,,,,,,,,,,,,,,
368,12,1,380,205,-1,-1,53461,,,,,Track 12,0,0
369,12,2,378,238,4.265,2.132,61057,,,,,,-2,33
370,12,3,369,250,1.935,0.968,29823,,,,,,-11,45
371,12,4,360,249,1.168,0.584,45183,,,,,,-20,44
372,12,5,352,247,1.064,0.532,31640,,,,,,-28,42
373,12,6,344,252,1.217,0.608,36495,,,,,,-36,47
374,12,7,340,248,0.73,0.365,19871,,,,,,-40,43
375,12,8,336,246,0.577,0.288,24140,,,,,,-44,41
376,12,9,334,251,0.695,0.347,28138,,,,,,-46,46
377,12,10,332,260,1.189,0.595,15200,,,,,,-48,55
378,12,11,325,278,2.491,1.246,17413,,,,,,-55,73
379,12,12,325,296,2.322,1.161,18373,,,,,,-55,91
380,12,13,319,310,1.965,0.982,18629,,,,,,-61,105
381,12,14,321,329,2.465,1.232,17865,,,,,,-59,124
382,12,15,326,356,3.542,1.771,15910,,,,,,-54,151
383,12,16,325,376,2.583,1.292,16287,,,,,,-55,171
384,12,17,326,390,1.811,0.905,15605,,,,,,-54,185
385,12,18,321,398,1.217,0.608,11012,,,,,,-59,193
386,12,19,314,408,1.575,0.787,11915,,,,,,-66,203
387,12,20,308,422,1.965,0.982,20570,,,,,,-72,217
388,12,21,309,432,1.296,0.648,18393,,,,,,-71,227
389,12,22,306,437,0.752,0.376,16928,,,,,,-74,232
390,12,23,300,436,0.785,0.392,13305,,,,,,-80,231
391,12,24,291,432,1.271,0.635,11622,,,,,,-89,227
392,12,25,292,422,1.296,0.648,14992,,,,,,-88,217
393,12,26,290,406,2.08,1.04,11134,,,,,,-90,201
394,12,27,292,392,1.824,0.912,11911,,,,,,-88,187
395,12,28,302,376,2.434,1.217,9148,,,,,,-78,171
396,12,29,311,361,2.257,1.128,6539,,,,,,-69,156
397,12,30,316,350,1.559,0.779,9071,,,,,,-64,145
398,12,31,316,345,0.645,0.323,11840,,,,,,-64,140
399,12,32,312,341,0.73,0.365,10285,,,,,,-68,136
400,12,33,306,342,0.785,0.392,15859,,,,,,-74,137
401,12,34,296,343,1.296,0.648,16218,,,,,,-84,138
402,12,35,293,342,0.408,0.204,9805,,,,,,-87,137
403,12,36,294,343,0.182,0.091,12070,,,,,,-86,138
404,12,37,284,339,1.389,0.695,17279,,,,,,-96,134
405,12,38,269,331,2.193,1.097,11602,,,,,,-111,126
406,12,39,258,331,1.419,0.71,16247,,,,,,-122,126
407,12,40,256,328,0.465,0.233,15814,,,,,,-124,123
408,12,41,250,332,0.93,0.465,22724,,,,,,-130,127
409,12,42,257,328,1.04,0.52,11014,,,,,,-123,123
410,12,43,257,326,0.258,0.129,14187,,,,,,-123,121
411,12,44,253,322,0.73,0.365,14769,,,,,,-127,117
412,12,45,246,317,1.11,0.555,15119,,,,,,-134,112
413,12,46,238,316,1.04,0.52,25530,,,,,,-142,111
414,12,47,235,306,1.347,0.673,65512,,,,,,-145,101
415,12,48,210,293,3.635,1.817,65505,,,,,,-170,88
416,12,49,205,293,0.645,0.323,25067,,,,,,-175,88
417,12,50,206,302,1.168,0.584,21456,,,,,,-174,97
418,12,51,207,308,0.785,0.392,18592,,,,,,-173,103
419,12,52,205,308,0.258,0.129,15724,,,,,,-175,103
420,12,53,203,302,0.816,0.408,13321,,,,,,-177,97
421,12,54,204,296,0.785,0.392,14814,,,,,,-176,91
422,12,55,204,290,0.774,0.387,16791,,,,,,-176,85
423,12,56,208,285,0.826,0.413,16037,,,,,,-172,80
424,12,57,215,286,0.912,0.456,15456,,,,,,-165,81
425,12,58,219,287,0.532,0.266,15671,,,,,,-161,82
426,12,59,224,289,0.695,0.347,20224,,,,,,-156,84
427,12,60,232,292,1.102,0.551,14358,,,,,,-148,87
428,12,61,234,288,0.577,0.288,20710,,,,,,-146,83
429,12,62,234,280,1.032,0.516,23917,,,,,,-146,75
430,12,63,234,274,0.774,0.387,22110,,,,,,-146,69
431,12,64,233,272,0.288,0.144,20842,,,,,,-147,67
432,12,65,233,272,0,0,14999,,,,,,-147,67
433,12,66,232,267,0.658,0.329,24767,,,,,,-148,62
434,12,67,230,261,0.816,0.408,18394,,,,,,-150,56
435,12,68,229,254,0.912,0.456,16330,,,,,,-151,49
436,12,69,226,238,2.1,1.05,23546,,,,,,-154,33
437,12,70,225,234,0.532,0.266,35603,,,,,,-155,29
438,12,71,220,223,1.559,0.779,34718,,,,,,-160,18
439,12,72,220,218,0.645,0.323,22583,,,,,,-160,13
440,12,73,214,204,1.965,0.982,28582,,,,,,-166,-1
,,,,,,,,,,,,,,
441,15,1,10,97,-1,-1,37932,,,,,Track 15,0,0
442,15,2,15,101,0.826,0.413,49116,,,,,,5,4
443,15,3,16,102,0.182,0.091,32063,,,,,,6,5
444,15,4,14,94,1.064,0.532,23079,,,,,,4,-3
445,15,5,10,89,0.826,0.413,10840,,,,,,0,-8
446,15,6,6,89,0.516,0.258,9170,,,,,,-4,-8
,,,,,,,,,,,,,,
447,16,1,8,144,-1,-1,32884,,,,,Track 16,0,0
448,16,2,10,150,0.816,0.408,31360,,,,,,2,6
449,16,3,12,149,0.288,0.144,32194,,,,,,4,5
450,16,4,12,150,0.129,0.065,24185,,,,,,4,6
451,16,5,14,151,0.288,0.144,20362,,,,,,6,7
452,16,6,19,156,0.912,0.456,25948,,,,,,11,12
453,16,7,22,157,0.408,0.204,19224,,,,,,14,13
454,16,8,26,162,0.826,0.413,19512,,,,,,18,18
455,16,9,31,164,0.695,0.347,27111,,,,,,23,20
456,16,10,32,168,0.532,0.266,24510,,,,,,24,24
457,16,11,36,170,0.577,0.288,21857,,,,,,28,26
